/Users/youshaoxiao/.virtualenvs/py3/bin/python /Users/youshaoxiao/PycharmProjects/cluster_and_cloud_2018/1_vm_scripts/2_vm_setup/test.py
Connecting to Nectar
Connecting to Nectar finshed
Image id: ami-1434712c, image name: NeCTAR Ubuntu 16.04 LTS (Xenial) amd64
Image id: ami-da5271a0, image name: NeCTAR CentOS 6 x86_64
Image id: ami-74132129, image name: NeCTAR Ubuntu 14.04 (Trusty) amd64
Image id: ami-38f6b049, image name: NeCTAR CentOS 7 x86_64 (pre-installed murano-agent)
Image id: ami-71ffa1c2, image name: NeCTAR Ubuntu 14.04 (Trusty) amd64 (pre-installed murano-agent)
Image id: ami-78f0fa58, image name: NeCTAR CentOS 7 x86_64
Image id: ami-aea95259, image name: NeCTAR Debian 8 (Jessie) amd64
Image id: ami-fe917e46, image name: NeCTAR Ubuntu 16.04 LTS (Xenial) amd64 (pre-installed murano-agent)
Image id: ami-1208875c, image name: NeCTAR Ubuntu 14.04 (Trusty) amd64 (pre-installed murano-agent)
Image id: ami-27a382a2, image name: NeCTAR CentOS 7 x86_64 (pre-installed murano-agent)
Image id: ami-3922cdab, image name: NeCTAR Ubuntu 14.04 (Trusty) amd64 (pre-installed murano-agent)
Image id: ami-181ed582, image name: NeCTAR Ubuntu 14.04 (Trusty) amd64
Image id: ami-faac7f62, image name: finalstudentmpiimage
Image id: ami-5fbb628e, image name: NeCTAR CentOS 7 x86_64
Image id: ami-c596c663, image name: NeCTAR Debian 8 (Jessie) amd64
Image id: ami-903ba1ce, image name: NeCTAR CentOS 7 x86_64 (pre-installed murano-agent)
Image id: ami-21c8dddc, image name: Hadoop+Spark
Image id: ami-44d86ab4, image name: Bates-22.03.17
Image id: ami-41326723, image name: NeCTAR Fedora 25 x86_64
Image id: ami-4293b23c, image name: NeCTAR Ubuntu 14.04 (Trusty) amd64 (pre-installed murano-agent)
Image id: ami-7e2a9bd2, image name: NeCTAR CentOS 6 x86_64
Image id: ami-408411ae, image name: NeCTAR CentOS 7 x86_64 (pre-installed murano-agent)
Image id: ami-8957339d, image name: NABUStaging
Image id: ami-00003c74, image name: Intersect_Ubuntu 16.04_LTS_V1.0
Image id: ami-00003c4d, image name: QMS512-Ferret
Image id: ami-00003c4a, image name: mgvl_4.1.0_clean_20170214
Image id: ami-00003c59, image name: cgenome
Image id: ami-00003c47, image name: openproject-09022017V2
Image id: ami-00003c41, image name: ng-docker-ubuntu
Image id: ami-00003c3e, image name: QCIF Bio-linux 8 (Ubuntu 14.04 Trusty)
Image id: ami-00003c3b, image name: CJS_UB14.04_BioLinux_Dammit_Installed
Image id: ami-00003c38, image name: NVIDIA DIGITS
Image id: ami-5d8b2e13, image name: cgenome_old
Image id: ami-00003b82, image name: NeCTAR R-Studio (Ubuntu 16.04 LTS Xenial)
Image id: ami-00003b7c, image name: NeCTAR Ubuntu 16.04 LTS (Xenial) amd64 (pre-installed murano-agent)
Image id: ami-00003b2e, image name: NeCTAR Ubuntu 16.04 LTS (Xenial) amd64
Image id: ami-00003b79, image name: GamesGroupSnapshot
Image id: ami-27804fff, image name: taxacloud_frontend_base8
Image id: ami-00003b76, image name: AAA Snapshot
Image id: ami-00003b73, image name: KoBo Toolbox Demo for ResPitch
Image id: ami-00003b70, image name: Project06
Image id: ami-00003b64, image name: Deep Learning Demo for ResPitch
Image id: ami-00003b28, image name: NeCTAR CentOS 7 x86_64
